ProductID,ProductName,Category,UnitPrice,StockQuantityUnits,StoreSection
2000,Electronics-Signal,Electronics,969.31,39,Warehouse
2001,Electronics-Boost,Electronics,412.35,712,Back-Store
2002,Office-Family,Office,866.0,473,Warehouse
2003,Electronics-Training,Electronics,385.18,,Front-Store
2004,Office-Where,Office,927.25,464,Endcap
2005,Office-Huge,Office,428.78,510,Endcap
2006,Office-Class,Office,198.0,19,Endcap
2007,Clothing-Over,Clothing,583.39,442,Endcap
2008,Electronics-Skin,Electronics,66.59,381,Endcap
2009,Office-Raise,Office,66.31,560,Online-Only
2010,Electronics-Themselves,Electronics,77.84,403,Back-Store
2011,Electronics-Religious,Electronics,409.74,59,Front-Store
2012,Clothing-Artist,Clothing,623.19,127,Online-Only
2013,Office-Cultural,Office,935.36,157,Front-Store
2014,Clothing-Eat,Clothing,246.3,164,Endcap
2015,Office-Itself,Office,674.97,99999,Back-Store
2016,Home-He,Home,323.02,790,Online-Only
2017,Electronics-Feeling,Electronics,463.7,611,Endcap
2018,Electronics-Nature,Electronics,542.26,278,Endcap
2019,Home-History,Home,933.93,186,Online-Only
2020,Electronics-Share,Electronics,375.83,65,Front-Store
2021,Clothing-Skill,Clothing,835.41,593,Front-Store
2022,Home-Economy,Home,671.18,191,Front-Store
2023,Home-Yeah,Home,939.54,169,Warehouse
2024,Clothing-Paper,Clothing,124.27,281,Front-Store
2025,Electronics-Assume,Electronics,279.62,534,front-store
2026,Clothing-Use,Clothing,211.56,105,Endcap
2027,Home-Purpose,Home,258.61,669,Front-Store
2028,Electronics-Take,Electronics,637.94,96,Endcap
2029,Home-Yourself,Home,13.51,468,Warehouse
2030,Clothing-First,Clothing,169.97,338,Endcap
2031,Office-Develop,Office,565.3,680,Online-Only
2032,Electronics-There,Electronics,945.6,170,Back-Store
2033,Clothing-Argue,Clothing,836.25,82,Warehouse
2034,Clothing-Feel,Clothing,136.17,51,Endcap
2035,Home-According,Home,899.99,274,Warehouse
2036,Electronics-Candidate,Electronics,217.98,745,Back-Store
2037,Clothing-Meeting,Clothing,360.14,688,Endcap
2038,Office-Soon,Office,926.51,72,Endcap
2039,Clothing-Need,Clothing,976.44,678,Front-Store
2040,Clothing-Determine,Clothing,34.54,304,Online-Only
2041,Home-Assume,Home,804.21,797,Warehouse
2042,Clothing-Lawyer,Clothing,167.61,732,Online-Only
2043,Electronics-Practice,Electronics,873.45,42,Online-Only
2044,Office-Society,Office,207.58,424,Endcap
2045,Office-Next,Office,312.14,792,Front-Store
2046,Clothing-Worry,Clothing,33.43,366,Back-Store
2047,Clothing-Hair,Clothing,334.98,660,Front-Store
2048,Electronics-Candidate,Electronics,357.63,680,Back-Store
2049,Office-Easy,Office,939.84,587,Warehouse
2050,Electronics-Young,Electronics,186.78,111,
2051,Home-Century,Home,117.32,434,Online-Only
2052,Office-Year,Office,731.26,601,Front-Store
2053,Home-Ground,Home,610.15,150,Front-Store
2054,Electronics-Above,Electronics,900.51,108,Front-Store
2055,Clothing-Politics,Clothing,53.94,129,Front-Store
2056,Office-About,Office,524.72,791,Warehouse
2057,Clothing-Identify,Clothing,436.98,121,Endcap
2058,Home-Wear,Home,666.75,510,Warehouse
2059,Electronics-Clear,Electronics,512.05,772,Online-Only
2060,Office-Term,Office,408.38,348,Online-Only
2061,Home-Quite,Home,199.92,89,Front-Store
2062,Office-Receive,Office,619.36,95,Back-Store
2063,Home-Good,Home,552.46,688,Online-Only
2064,Electronics-Stop,Electronics,294.04,198,Endcap
2065,Office-Animal,Office,470.34,413,Warehouse
2066,Office-Occur,Office,516.06,608,Endcap
2067,Clothing-Remain,Clothing,290.95,418,Warehouse
2068,Home-Read,Home,820.24,407,Warehouse
2069,Clothing-Garden,Clothing,232.39,53,Back-Store
2070,Clothing-About,Clothing,34.18,550,Back-Store
2071,Clothing-Success,Clothing,615.16,192,Front-Store
2072,Electronics-Become,Electronics,420.3,685,Back-Store
2073,Clothing-Executive,Clothing,499.43,307,Back-Store
2074,Clothing-Strong,Clothing,659.5,353,Back-Store
2075,Electronics-Letter,Electronics,780.64,795,Back-Store
2076,Clothing-Affect,Clothing,806.07,392,Online-Only
2077,Office-Ball,Office,561.83,230,Front-Store
2078,Electronics-Film,Electronics,142.01,469,Endcap
2079,Office-Who,Office,950.54,62,Front-Store
2080,Office-Doctor,Office,832.26,27,Front-Store
2081,Office-Light,Office,746.22,558,Endcap
2082,Office-Figure,Office,266.6,523,Endcap
2083,Clothing-Cut,Clothing,768.16,517,Front-Store
2084,Office-Stuff,Office,281.85,592,Warehouse
2085,Electronics-Officer,Electronics,242.15,269,Back-Store
2086,Home-Of,Home,894.1,133,Online-Only
2087,Electronics-Rather,Electronics,159.32,782,Online-Only
2088,Office-Evening,Office,709.35,158,Back-Store
2089,Electronics-Action,Electronics,413.52,6,Front-Store
2090,Office-Staff,Office,71.64,716,Back-Store
2091,Office-Mrs,Office,905.79,127,Endcap
2092,Electronics-Add,Electronics,482.21,637,Online-Only
2093,Home-Real,Home,755.94,205,Online-Only
2094,Office-Fight,Office,493.35,435,Front-Store
2095,Home-Seem,Home,490.79,15,Back-Store
2096,Office-Discuss,Office,672.18,385,Front-Store
2097,Office-Recent,Office,842.1,336,Warehouse
2098,Clothing-Trouble,Clothing,907.86,267,Endcap
2099,Electronics-Several,Electronics,646.32,137,Endcap
